# z hist dens F
-0.9450802947535661 13277 0.017279210807152712 -9.493788493895902
-0.8775745594140256 13103 0.017052760352950364 -9.480596490604585
-0.8100688240744851 13031 0.0169590567167287 -9.475086413144906
-0.7425630887349448 13520 0.017595460579400816 -9.511925349596956
-0.6750573533954045 14200 0.01848043936593873 -9.560997243589352
-0.607551618055864 15169 0.01974153413675525 -9.627009150591672
-0.5400458827163235 16512 0.021489367240167624 -9.711842668281289
-0.47254014737678296 17940 0.023347822691897238 -9.794788135612787
-0.40503441203724266 19602 0.02551081496134725 -9.883386880829125
-0.33752867669770237 21164 0.02754366329160051 -9.960056904024022
-0.27002294135816185 22900 0.02980296207605612 -10.03889218954233
-0.20251720601862133 24018 0.0312579713162758 -10.086558828220628
-0.13501147067908081 25344 0.03298367995002473 -10.140297294614152
-0.06750573533954052 25827 0.03361227517634504 -10.159175735326064
-2.220446049250313e-16 25952 0.033774955100340974 -10.16400395691514
0.0675057353395403 25821 0.03360446653999323 -10.158943393317584
0.13501147067908081 25134 0.03271037767771155 -10.13197679017509
0.2025172060186211 24079 0.031337359119185816 -10.089095370321234
0.2700229413581614 22735 0.029588224576381477 -10.031660866259111
0.3375286766977019 21395 0.027844295791145005 -9.970912528850917
0.40503441203724244 19659 0.025584997006689397 -9.886290527707606
0.47254014737678296 17809 0.023177334131549494 -9.787459226476006
0.5400458827163233 16322 0.021242093755693796 -9.700269170029188
0.6075516180558636 15164 0.019735026939795414 -9.626679476636225
0.6750573533954038 13776 0.0179286290637445 -9.530683226667511
0.7425630887349444 13463 0.01752127853405867 -9.507700460979235
0.8100688240744849 13117 0.017070980504437908 -9.481664377815145
0.8775745594140254 13014 0.016936932247065255 -9.47378098005493
0.9450802947535659 12749 0.016592050808193863 -9.453208116138121
1.012586030093106 12770 0.01661938103542518 -9.454853949026585
1.0800917654326465 12751 0.0165946536869778 -9.453364978883542
1.147597500772187 12108 0.015757828157942685 -9.401621670141608
1.2151032361117275 11411 0.014850724901741327 -9.34233308143468
1.282608971451268 10146 0.013204404070902419 -9.224834818126634
1.3501147067908081 8614 0.011210598922408183 -9.061144065614055
1.4176204421303487 6751 0.0087860173351727 -8.81744592104187
1.4851261774698892 4972 0.00647075665686249 -8.511577452630602
1.5526319128094297 3513 0.004571956583981884 -8.164225652265827
1.6201376481489702 2394 0.0031156459043702334 -7.780720886117918
1.6876433834885103 1670 0.002173403784585752 -7.4205789054108005
1.7551491188280508 1142 0.0014862437856269033 -7.040536390215956
1.8226548541675913 699 0.0009097061349852937 -6.54965074223381
1.8901605895071314 542 0.0007053801504463938 -6.295266001439646
1.957666324846672 510 0.0006637340899034332 -6.234410725718371
2.0251720601862124 398 0.0005179728780030714 -5.986452005284438
2.092677795525753 381 0.0004958484083396236 -5.942799375126701
2.1601835308652935 433 0.0005635232567219344 -6.07073772800249
2.2276892662048335 580 0.0007548348473411593 -6.363028103540465
2.295195001544374 701 0.0009123090137692287 -6.55250788703459
2.3627007368839146 865 0.0011257450740519014 -6.762729506931879
2.430206472223455 1029 0.0013391811343345741 -6.9363427358340495
2.4977122075629956 1197 0.0015578229521851167 -7.087573705557973
2.5652179429025357 1426 0.001855852572945678 -7.262628600974241
2.632723678242076 1526 0.0019859965121424294 -7.330405211844402
2.7002294135816167 1646 0.0021421692391785313 -7.406103381237015
2.7677351489211572 1749 0.0022762174965511857 -7.466799475018602
2.8352408842606978 1787 0.002325672193445951 -7.488293515159428
2.902746619600238 1701 0.0022137484057367447 -7.438971592395862
2.9702523549397783 1696 0.002207241208776907 -7.4360278163518485
3.037758090279319 1667 0.002169499466409849 -7.418780882750794
3.1052638256188594 1639 0.002133059163434759 -7.40184157874383
3.1727695609584 1618 0.002105728936203441 -7.388946097618437
3.24027529629794 1602 0.0020849059059319607 -7.379008127628304
3.3077810316374805 1573 0.0020471641635649027 -7.360739903058278
